timestamp,ip,playerCount,data,hora,minuto,dia_da_semana,final_de_semana,var_jogadores,pct_var_jogadores,media_movel_10,media_movel_30,desvio_movel_30,total_jogadores,proporcao_rede,flag_pico,queda_abrupta,recuperacao,periodo_dia,intervalo_segundos,server_id,servidor_hora
2021-08-01 00:06:10.185,play.timolia.de,,2021-08-01,0,6,Sunday,1,,0.0,74.0,73.88888888888889,0.5773502691893854,97882.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:06:13.186,play.timolia.de,,2021-08-01,0,6,Sunday,1,,0.0,74.0,73.88461538461539,0.5883484054143068,97885.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:06:22.187,play.wynncraft.com,,2021-08-01,0,6,Sunday,1,,0.0,1340.2857142857142,1341.9583333333333,1.8528278426483709,96602.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:06:40.193,play.wynncraft.com,,2021-08-01,0,6,Sunday,1,,0.0,1336.375,1339.9166666666667,3.488074922742715,96591.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:07:01.199,play.timolia.de,,2021-08-01,0,7,Sunday,1,,0.0,72.55555555555556,73.48148148148148,0.8489980687831078,97904.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:07:04.200,play.timolia.de,,2021-08-01,0,7,Sunday,1,,0.0,72.5,73.46153846153847,0.8593378488471537,97901.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:07:49.209,play.wynncraft.com,,2021-08-01,0,7,Sunday,1,,0.0,1343.3333333333333,1338.6296296296296,4.5585772759301255,96610.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:07:52.210,play.timolia.de,,2021-08-01,0,7,Sunday,1,,0.0,73.44444444444444,72.74074074074075,0.9443187447772252,97871.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:07:55.211,play.timolia.de,,2021-08-01,0,7,Sunday,1,,0.0,73.5,72.6923076923077,0.9281909617843708,97899.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:08:25.218,play.wynncraft.com,,2021-08-01,0,8,Sunday,1,,0.0,1344.888888888889,1342.321428571429,3.732277344986039,96545.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:08:43.225,play.timolia.de,,2021-08-01,0,8,Sunday,1,,0.0,72.88888888888889,72.96296296296296,0.5871365639517613,97810.0,,0,0,0,Madrugada,3.002,5,play.timolia.de_0
2021-08-01 00:08:46.225,play.timolia.de,,2021-08-01,0,8,Sunday,1,,0.0,73.0,73.0,0.5656854249489943,97781.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:09:22.235,play.wynncraft.com,,2021-08-01,0,9,Sunday,1,,0.0,1348.888888888889,1346.7857142857142,2.0791227291230627,96506.0,,0,0,0,Madrugada,3.002,6,play.wynncraft.com_0
2021-08-01 00:09:34.239,play.timolia.de,,2021-08-01,0,9,Sunday,1,,0.0,74.88888888888889,73.70370370370371,1.0675210253670997,97831.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:09:37.240,play.timolia.de,,2021-08-01,0,9,Sunday,1,,0.0,75.0,73.73076923076923,1.0791734729018565,97826.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:09:40.241,play.wynncraft.com,,2021-08-01,0,9,Sunday,1,,0.0,1349.5,1347.851851851852,1.7030222841439706,96570.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:09:55.244,play.wynncraft.com,,2021-08-01,0,9,Sunday,1,,0.0,1352.25,1349.2222222222222,3.0170455917290533,96552.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:10:13.250,play.wynncraft.com,,2021-08-01,0,10,Sunday,1,,0.0,1356.625,1351.1153846153843,4.179252785626106,96513.0,,0,0,0,Madrugada,3.002,6,play.wynncraft.com_0
2021-08-01 00:10:16.250,play.wynncraft.com,,2021-08-01,0,10,Sunday,1,,0.0,1357.0,1351.36,4.071035904207138,96534.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:10:25.252,play.wynncraft.com,,2021-08-01,0,10,Sunday,1,,0.0,1357.142857142857,1352.5,4.0432445000232375,96436.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:10:25.252,play.timolia.de,,2021-08-01,0,10,Sunday,1,,0.0,75.55555555555556,75.33333333333333,1.2709778186042866,96436.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:10:28.253,play.wynncraft.com,,2021-08-01,0,10,Sunday,1,,0.0,1357.0,1352.7391304347825,3.956782339505896,96433.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:10:28.253,play.timolia.de,,2021-08-01,0,10,Sunday,1,,0.0,75.5,75.38461538461539,1.2673412508686497,96433.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:11:16.266,play.timolia.de,,2021-08-01,0,11,Sunday,1,,0.0,78.88888888888889,76.92592592592592,1.8795647189609552,97718.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:11:19.267,play.timolia.de,,2021-08-01,0,11,Sunday,1,,0.0,79.125,76.92307692307692,1.916727981181828,97729.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:11:43.276,play.wynncraft.com,,2021-08-01,0,11,Sunday,1,,0.0,1351.888888888889,1354.576923076923,3.590800210796853,96449.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:11:55.279,play.wynncraft.com,,2021-08-01,0,11,Sunday,1,,0.0,1348.125,1353.4444444444443,4.218396827573714,96452.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:12:07.282,play.timolia.de,,2021-08-01,0,12,Sunday,1,,0.0,72.11111111111111,75.55555555555556,2.978555836608451,97667.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:12:10.282,play.timolia.de,,2021-08-01,0,12,Sunday,1,,0.0,72.0,75.5,3.023243291566092,97691.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:12:16.284,play.wynncraft.com,,2021-08-01,0,12,Sunday,1,,0.0,1348.875,1352.6666666666667,4.514932489487265,96397.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:12:46.292,play.wynncraft.com,,2021-08-01,0,12,Sunday,1,,0.0,1354.3333333333333,1351.423076923077,3.3961516682649533,96345.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:12:58.297,play.timolia.de,,2021-08-01,0,12,Sunday,1,,0.0,70.44444444444444,71.55555555555556,1.2810252304406042,97579.0,,0,0,0,Madrugada,3.002,5,play.timolia.de_0
2021-08-01 00:13:01.297,play.timolia.de,,2021-08-01,0,13,Sunday,1,,0.0,70.375,71.42307692307692,1.1017468646862194,97606.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:13:22.302,play.wynncraft.com,,2021-08-01,0,13,Sunday,1,,0.0,1350.6666666666667,1352.076923076923,2.682134626348817,96193.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:13:31.305,play.wynncraft.com,,2021-08-01,0,13,Sunday,1,,0.0,1349.375,1352.1153846153843,2.6431333387037155,96230.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:13:37.307,play.wynncraft.com,,2021-08-01,0,13,Sunday,1,,0.0,1349.0,1352.2,2.677063067370756,96193.0,,0,0,0,Madrugada,3.002,6,play.wynncraft.com_0
2021-08-01 00:13:49.312,play.timolia.de,,2021-08-01,0,13,Sunday,1,,0.0,70.55555555555556,70.03703703703704,1.2551886613168577,97461.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:13:52.313,play.timolia.de,,2021-08-01,0,13,Sunday,1,,0.0,70.75,70.0,1.264911064067282,97450.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:14:01.315,play.wynncraft.com,,2021-08-01,0,14,Sunday,1,,0.0,1345.5,1349.92,3.925557285279465,96203.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:14:10.317,play.wynncraft.com,,2021-08-01,0,14,Sunday,1,,0.0,1345.5,1349.0416666666667,3.5567347833160445,96185.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:14:40.326,play.timolia.de,,2021-08-01,0,14,Sunday,1,,0.0,71.0,70.51851851851852,1.1221672153734834,97495.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:14:43.327,play.timolia.de,,2021-08-01,0,14,Sunday,1,,0.0,71.0,70.61538461538461,1.0228166239134242,97478.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:14:52.329,play.wynncraft.com,,2021-08-01,0,14,Sunday,1,,0.0,1347.888888888889,1347.24,1.762573875521822,96179.0,,0,0,0,Madrugada,3.002,6,play.wynncraft.com_0
2021-08-01 00:14:55.330,play.wynncraft.com,,2021-08-01,0,14,Sunday,1,,0.0,1348.0,1347.125,1.701980943030822,96182.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:15:31.340,play.timolia.de,,2021-08-01,0,15,Sunday,1,,0.0,70.55555555555556,70.62962962962963,0.4921028776232233,97418.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:15:34.340,play.timolia.de,,2021-08-01,0,15,Sunday,1,,0.0,70.625,70.61538461538461,0.4961389383566408,97410.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:15:49.343,play.wynncraft.com,,2021-08-01,0,15,Sunday,1,,0.0,1350.2222222222222,1348.962962962963,1.4272480642990084,96146.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:15:55.343,play.wynncraft.com,,2021-08-01,0,15,Sunday,1,,0.0,1350.625,1349.2692307692307,1.5377305955936214,96176.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:16:13.347,play.wynncraft.com,,2021-08-01,0,16,Sunday,1,,0.0,1351.0,1349.84,1.5459624833776378,96175.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:16:16.347,play.wynncraft.com,,2021-08-01,0,16,Sunday,1,,0.0,1350.6666666666667,1349.875,1.569062306522874,96171.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:16:22.349,play.timolia.de,,2021-08-01,0,16,Sunday,1,,0.0,63.0,66.66666666666667,3.62682314896193,97436.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:16:25.349,play.timolia.de,,2021-08-01,0,16,Sunday,1,,0.0,63.0,66.53846153846153,3.635720222797887,97449.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:16:28.350,play.wynncraft.com,,2021-08-01,0,16,Sunday,1,,0.0,1347.0,1349.2,2.661453237113602,96178.0,,0,0,0,Madrugada,3.001,6,play.wynncraft.com_0
2021-08-01 00:17:01.357,play.wynncraft.com,,2021-08-01,0,17,Sunday,1,,0.0,1351.0,1349.7083333333333,3.2634892858490345,96168.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:17:13.361,play.timolia.de,,2021-08-01,0,17,Sunday,1,,0.0,62.0,62.629629629629626,0.4921028776234823,97436.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:17:16.362,play.timolia.de,,2021-08-01,0,17,Sunday,1,,0.0,62.0,62.61538461538461,0.4961389383569075,97447.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
2021-08-01 00:18:04.373,play.timolia.de,,2021-08-01,0,18,Sunday,1,,0.0,58.888888888888886,60.77777777777778,1.552500051612419,97386.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:18:07.373,play.timolia.de,,2021-08-01,0,18,Sunday,1,,0.0,58.75,60.69230769230769,1.517082219768799,97374.0,,0,0,0,Madrugada,3.0,5,play.timolia.de_0
2021-08-01 00:18:46.384,play.wynncraft.com,,2021-08-01,0,18,Sunday,1,,0.0,1351.0,1353.0689655172414,2.016557081530978,96150.0,,0,0,0,Madrugada,3.0,6,play.wynncraft.com_0
2021-08-01 00:18:55.387,play.timolia.de,,2021-08-01,0,18,Sunday,1,,0.0,60.333333333333336,59.333333333333336,1.2403473458921723,97453.0,,0,0,0,Madrugada,3.001,5,play.timolia.de_0
